member_casual,hour,周末,工作日
casual,0,75969,90681
casual,1,56056,51315
casual,2,39454,30790
casual,3,26816,19411
casual,4,17575,19387
casual,5,11813,33900
casual,6,18457,79741
casual,7,33246,158105
casual,8,57418,232974
casual,9,99101,215700
casual,10,149261,214083
casual,11,195052,251324
casual,12,232590,288802
casual,13,252510,314336
casual,14,264653,360616
casual,15,266446,404597
casual,16,249956,431848
casual,17,226602,512953
casual,18,203537,494808
casual,19,167199,389867
casual,20,123568,288818
casual,21,96614,226159
casual,22,85680,201745
casual,23,74312,161048
member,0,194550,259404
member,1,133501,132287
member,2,88640,79855
member,3,59033,53972
member,4,39398,67382
member,5,35437,229150
member,6,75136,679438
member,7,140803,1440001
member,8,238867,2197759
member,9,370381,1599698
member,10,484145,1113330
member,11,571992,1101954
member,12,630516,1236272
member,13,652400,1305547
member,14,663033,1453397
member,15,664744,1656238
member,16,643941,1971905
member,17,617378,2711445
member,18,587597,2509217
member,19,492958,1830829
member,20,374723,1302144
member,21,293340,957532
member,22,247209,755832
member,23,200548,523828
