member_casual,hour,Weekend,Weekday
casual,0,75991,90701
casual,1,55969,51326
casual,2,39469,30797
casual,3,26821,19418
casual,4,17583,19393
casual,5,11821,33921
casual,6,18461,79763
casual,7,33254,158144
casual,8,57431,233025
casual,9,99122,215723
casual,10,149272,214110
casual,11,195072,251366
casual,12,232624,288864
casual,13,252544,314449
casual,14,264690,360747
casual,15,266474,404674
casual,16,249993,431893
casual,17,226615,513014
casual,18,203547,494845
casual,19,167222,389903
casual,20,123583,288856
casual,21,96628,226193
casual,22,85694,201775
casual,23,74322,161086
member,0,194584,259460
member,1,133319,132320
member,2,88661,79872
member,3,59055,53994
member,4,39410,67404
member,5,35456,229222
member,6,75148,679598
member,7,140823,1440328
member,8,238930,2198083
member,9,370435,1599870
member,10,484230,1113482
member,11,572041,1102076
member,12,630605,1236623
member,13,652482,1306152
member,14,663105,1453832
member,15,664839,1656627
member,16,644018,1972222
member,17,617436,2711742
member,18,587643,2509421
member,19,493004,1830986
member,20,374761,1302300
member,21,293375,957646
member,22,247252,755933
member,23,200594,523916
